Opening: params_1024.dat
0
1
1
0.29449234078335689067
-0.016335565476402559131
6.6461593173361421805E-17
6.6383666142214026173E-17
1200
1200
70000
afile_1024.bmp
rank = 11, total = 449619
rank = 944, total = 464556
rank = 964, total = 461656
rank = 952, total = 463039
rank = 61, total = 469840
rank = 203, total = 472607
rank = 62, total = 465248
rank = 909, total = 472323
rank = 55, total = 472391
rank = 52, total = 463559
rank = 54, total = 471910
rank = 233, total = 472756
rank = 129, total = 472808
rank = 911, total = 471697
rank = 221, total = 472976
rank = 32, total = 459093
rank = 910, total = 472980
rank = 57, total = 473147
rank = 227, total = 473233
rank = 56, total = 467237
rank = 903, total = 473324
rank = 58, total = 464043
rank = 215, total = 473444
rank = 197, total = 474153
rank = 60, total = 472025
rank = 48, total = 460684
rank = 231, total = 470645
rank = 163, total = 473708
rank = 905, total = 473757
rank = 913, total = 466979
rank = 916, total = 469100
rank = 914, total = 467619
rank = 920, total = 462081
rank = 237, total = 472435
rank = 225, total = 471500
rank = 226, total = 469976
rank = 165, total = 475843
rank = 213, total = 474611
rank = 214, total = 470293
rank = 219, total = 472435
rank = 897, total = 476501
rank = 131, total = 475304
rank = 161, total = 471607
rank = 223, total = 476992
rank = 130, total = 476547
rank = 162, total = 470469
rank = 222, total = 474197
rank = 211, total = 475964
rank = 167, total = 472239
rank = 210, total = 477085
rank = 166, total = 477352
rank = 191, total = 475628
rank = 239, total = 477560
rank = 212, total = 475971
rank = 243, total = 473434
rank = 145, total = 477533
rank = 164, total = 471030
rank = 238, total = 471672
rank = 217, total = 476410
rank = 785, total = 477479
rank = 907, total = 467511
rank = 149, total = 477969
rank = 249, total = 471583
rank = 218, total = 476160
rank = 902, total = 473443
rank = 127, total = 474289
rank = 150, total = 474112
rank = 126, total = 478995
rank = 912, total = 473983
rank = 199, total = 479194
rank = 185, total = 476287
rank = 120, total = 472109
rank = 928, total = 461637
rank = 198, total = 476402
rank = 216, total = 478019
rank = 124, total = 469177
rank = 135, total = 478658
rank = 96, total = 460923
rank = 960, total = 461521
rank = 205, total = 479368
rank = 901, total = 472793
rank = 112, total = 458379
rank = 151, total = 477986
rank = 791, total = 479587
rank = 220, total = 468956
rank = 201, total = 476366
rank = 132, total = 479078
rank = 64, total = 462665
rank = 169, total = 479306
rank = 207, total = 474788
rank = 899, total = 478219
rank = 895, total = 475525
rank = 157, total = 478009
rank = 202, total = 471735
rank = 133, total = 478380
rank = 204, total = 476807
rank = 173, total = 475114
rank = 206, total = 479390
rank = 908, total = 467935
rank = 809, total = 478716
rank = 245, total = 479882
rank = 891, total = 479624
rank = 159, total = 479539
rank = 195, total = 481255
rank = 134, total = 477577
rank = 779, total = 477452
rank = 235, total = 478357
rank = 898, total = 478463
rank = 175, total = 480142
rank = 158, total = 475463
rank = 234, total = 480078
rank = 904, total = 473821
rank = 174, total = 478703
rank = 155, total = 479730
rank = 139, total = 480094
rank = 893, total = 482489
rank = 236, total = 474897
rank = 894, total = 479914
rank = 900, total = 478402
rank = 228, total = 476898
rank = 906, total = 478163
rank = 229, total = 480454
rank = 815, total = 482989
rank = 230, total = 473818
rank = 885, total = 483080
rank = 232, total = 469306
rank = 797, total = 481224
rank = 179, total = 475996
rank = 813, total = 480889
rank = 255, total = 473550
rank = 814, total = 480190
rank = 147, total = 481790
rank = 148, total = 476734
rank = 146, total = 478126
rank = 141, total = 481672
rank = 171, total = 482855
rank = 172, total = 479618
rank = 883, total = 484170
rank = 170, total = 479076
rank = 143, total = 480096
rank = 168, total = 474000
rank = 261, total = 481766
rank = 142, total = 482982
rank = 187, total = 483451
rank = 193, total = 484597
rank = 186, total = 478578
rank = 200, total = 479674
rank = 251, total = 483785
rank = 196, total = 473708
rank = 250, total = 474568
rank = 194, total = 481473
rank = 181, total = 484207
rank = 811, total = 483870
rank = 241, total = 481469
rank = 812, total = 483406
rank = 242, total = 477682
rank = 810, total = 485139
rank = 153, total = 484332
rank = 837, total = 482585
rank = 152, total = 477125
rank = 807, total = 482770
rank = 183, total = 484603
rank = 803, total = 483089
rank = 154, total = 480507
rank = 773, total = 479794
rank = 182, total = 481949
rank = 774, total = 481488
rank = 208, total = 469885
rank = 775, total = 486083
rank = 156, total = 478025
rank = 781, total = 486087
rank = 137, total = 484758
rank = 849, total = 485404
rank = 177, total = 483503
rank = 843, total = 484083
rank = 144, total = 476144
rank = 769, total = 486697
rank = 138, total = 480609
rank = 257, total = 486836
rank = 180, total = 479113
rank = 787, total = 486885
rank = 136, total = 483728
rank = 786, total = 481460
rank = 178, total = 481424
rank = 140, total = 481989
rank = 189, total = 485763
rank = 190, total = 477553
rank = 247, total = 479852
rank = 188, total = 482961
rank = 244, total = 473777
rank = 176, total = 484907
rank = 889, total = 487888
rank = 160, total = 476934
rank = 890, total = 480901
rank = 246, total = 485958
rank = 892, total = 480912
rank = 184, total = 478676
rank = 192, total = 479230
rank = 763, total = 487436
rank = 253, total = 481593
rank = 254, total = 481562
rank = 887, total = 488559
rank = 248, total = 478463
rank = 259, total = 483640
rank = 240, total = 484544
rank = 886, total = 483008
rank = 252, total = 487601
rank = 783, total = 483124
rank = 224, total = 475694
rank = 258, total = 488667
rank = 767, total = 480635
rank = 789, total = 482328
rank = 757, total = 488683
rank = 782, total = 489084
rank = 128, total = 471958
rank = 267, total = 487550
rank = 788, total = 488960
rank = 343, total = 489339
rank = 817, total = 489207
rank = 790, total = 479247
rank = 879, total = 489315
rank = 818, total = 489245
rank = 793, total = 489650
rank = 839, total = 489575
rank = 819, total = 485831
rank = 798, total = 484997
rank = 265, total = 489597
rank = 761, total = 483146
rank = 805, total = 489825
rank = 762, total = 484118
rank = 838, total = 484513
rank = 799, total = 489714
rank = 877, total = 490072
rank = 266, total = 488749
rank = 806, total = 485803
rank = 881, total = 490129
rank = 821, total = 490223
rank = 878, total = 484981
rank = 262, total = 487009
rank = 882, total = 482482
rank = 831, total = 487220
rank = 851, total = 489740
rank = 759, total = 490780
rank = 260, total = 484634
rank = 766, total = 488493
rank = 888, total = 482524
rank = 765, total = 490445
rank = 850, total = 490735
rank = 758, total = 491867
rank = 263, total = 490244
rank = 764, total = 491879
rank = 884, total = 480674
rank = 801, total = 483958
rank = 855, total = 488377
rank = 804, total = 487134
rank = 873, total = 491626
rank = 802, total = 485782
rank = 808, total = 480336
rank = 771, total = 490044
rank = 833, total = 491921
rank = 770, total = 492051
rank = 845, total = 492021
rank = 772, total = 486084
rank = 835, total = 489929
rank = 834, total = 492127
rank = 836, total = 485497
rank = 349, total = 492639
rank = 867, total = 492640
rank = 841, total = 492709
rank = 777, total = 486100
rank = 337, total = 492807
rank = 842, total = 486502
rank = 776, total = 492908
rank = 778, total = 481832
rank = 780, total = 478757
rank = 355, total = 493306
rank = 871, total = 493519
rank = 795, total = 482386
rank = 794, total = 493643
rank = 827, total = 493704
rank = 796, total = 483264
rank = 792, total = 483312
rank = 784, total = 478814
rank = 751, total = 495385
rank = 857, total = 494237
rank = 869, total = 494359
rank = 870, total = 491172
rank = 269, total = 494703
rank = 861, total = 494555
rank = 875, total = 494657
rank = 874, total = 493068
rank = 847, total = 494791
rank = 755, total = 488432
rank = 876, total = 486370
rank = 840, total = 489111
rank = 347, total = 488567
rank = 359, total = 492589
rank = 846, total = 490887
rank = 823, total = 495251
rank = 844, total = 489993
rank = 820, total = 485239
rank = 822, total = 493954
rank = 824, total = 495545
rank = 853, total = 495785
rank = 825, total = 489926
rank = 852, total = 492792
rank = 800, total = 491259
rank = 829, total = 494388
rank = 854, total = 490874
rank = 826, total = 491683
rank = 828, total = 495795
rank = 830, total = 490356
rank = 273, total = 496392
rank = 816, total = 489218
rank = 341, total = 489185
rank = 342, total = 486629
rank = 353, total = 490918
rank = 354, total = 491903
rank = 345, total = 497501
rank = 863, total = 496730
rank = 346, total = 495211
rank = 862, total = 497374
rank = 361, total = 497777
rank = 371, total = 493959
rank = 271, total = 498513
rank = 268, total = 491890
rank = 279, total = 498671
rank = 264, total = 490255
rank = 270, total = 494915
rank = 865, total = 492651
rank = 880, total = 486546
rank = 866, total = 492328
rank = 275, total = 499158
rank = 753, total = 496850
rank = 868, total = 491814
rank = 754, total = 496304
rank = 274, total = 496545
rank = 756, total = 484088
rank = 872, total = 485142
rank = 760, total = 490654
rank = 339, total = 499439
rank = 338, total = 494931
rank = 340, total = 496647
rank = 859, total = 496423
rank = 896, total = 476393
rank = 365, total = 497324
rank = 858, total = 500113
rank = 864, total = 499098
rank = 860, total = 491237
rank = 307, total = 496328
rank = 856, total = 493876
rank = 277, total = 500656
rank = 832, total = 489218
rank = 848, total = 486374
rank = 278, total = 493945
rank = 276, total = 498162
rank = 745, total = 499942
rank = 313, total = 497077
rank = 749, total = 498328
rank = 377, total = 499577
rank = 750, total = 491795
rank = 281, total = 501807
rank = 325, total = 500824
rank = 309, total = 501904
rank = 301, total = 498983
rank = 351, total = 502670
rank = 348, total = 487098
rank = 344, total = 491937
rank = 350, total = 496428
rank = 357, total = 503253
rank = 291, total = 503118
rank = 331, total = 503137
rank = 358, total = 495268
rank = 356, total = 500083
rank = 747, total = 503720
rank = 285, total = 503698
rank = 748, total = 502122
rank = 746, total = 502883
rank = 319, total = 500560
rank = 295, total = 499951
rank = 383, total = 501666
rank = 367, total = 505779
rank = 366, total = 495376
rank = 681, total = 505658
rank = 369, total = 505966
rank = 297, total = 505924
rank = 693, total = 506356
rank = 335, total = 496114
rank = 370, total = 498106
rank = 691, total = 503819
rank = 315, total = 506561
rank = 685, total = 506280
rank = 314, total = 500665
rank = 287, total = 506753
rank = 286, total = 506697
rank = 373, total = 506954
rank = 333, total = 506907
rank = 284, total = 498178
rank = 679, total = 506019
rank = 363, total = 507073
rank = 389, total = 506871
rank = 334, total = 505940
rank = 305, total = 507079
rank = 280, total = 501536
rank = 360, total = 491083
rank = 306, total = 500423
rank = 272, total = 491848
rank = 362, total = 506992
rank = 419, total = 508418
rank = 310, total = 507370
rank = 283, total = 506929
rank = 321, total = 507950
rank = 364, total = 500249
rank = 308, total = 498458
rank = 282, total = 502674
rank = 687, total = 508668
rank = 323, total = 503691
rank = 686, total = 506776
rank = 311, total = 506638
rank = 322, total = 507777
rank = 675, total = 503020
rank = 317, total = 508281
rank = 324, total = 501712
rank = 739, total = 505764
rank = 316, total = 508356
rank = 743, total = 504505
rank = 326, total = 502647
rank = 312, total = 501512
rank = 327, total = 508169
rank = 318, total = 504021
rank = 375, total = 505925
rank = 293, total = 507072
rank = 374, total = 509636
rank = 697, total = 510234
rank = 294, total = 504795
rank = 372, total = 495191
rank = 298, total = 507996
rank = 289, total = 506354
rank = 290, total = 499514
rank = 302, total = 503611
rank = 304, total = 506885
rank = 303, total = 509900
rank = 292, total = 509519
rank = 288, total = 509756
rank = 299, total = 509657
rank = 296, total = 500962
rank = 741, total = 511547
rank = 300, total = 502418
rank = 742, total = 509578
rank = 329, total = 504513
rank = 336, total = 491289
rank = 330, total = 500848
rank = 328, total = 510762
rank = 332, total = 501592
rank = 663, total = 511525
rank = 379, total = 512550
rank = 378, total = 503739
rank = 413, total = 513025
rank = 669, total = 508451
rank = 709, total = 513245
rank = 425, total = 513432
rank = 695, total = 513610
rank = 694, total = 512721
rank = 703, total = 513686
rank = 698, total = 510421
rank = 699, total = 513671
rank = 381, total = 512535
rank = 395, total = 514140
rank = 623, total = 514177
rank = 737, total = 509693
rank = 382, total = 505479
rank = 752, total = 500255
rank = 376, total = 501786
rank = 733, total = 509479
rank = 352, total = 496855
rank = 715, total = 511301
rank = 368, total = 505723
rank = 738, total = 509688
rank = 617, total = 514596
rank = 689, total = 514399
rank = 380, total = 514162
rank = 740, total = 511184
rank = 320, total = 504913
rank = 673, total = 509136
rank = 633, total = 509450
rank = 690, total = 506318
rank = 744, total = 502060
rank = 674, total = 509140
rank = 692, total = 503634
rank = 423, total = 510132
rank = 727, total = 512018
rank = 657, total = 515444
rank = 407, total = 515533
rank = 677, total = 516002
rank = 678, total = 507417
rank = 676, total = 507483
rank = 417, total = 509682
rank = 645, total = 515915
rank = 639, total = 514597
rank = 385, total = 516473
rank = 418, total = 502244
rank = 735, total = 515406
rank = 711, total = 516690
rank = 429, total = 512123
rank = 734, total = 516583
rank = 710, total = 513513
rank = 683, total = 517531
rank = 682, total = 511389
rank = 684, total = 506651
rank = 667, total = 510815
rank = 431, total = 517764
rank = 680, total = 505720
rank = 430, total = 511464
rank = 721, total = 511304
rank = 401, total = 518384
rank = 705, total = 518566
rank = 627, total = 510280
rank = 387, total = 516181
rank = 386, total = 519225
rank = 713, total = 518732
rank = 599, total = 517623
rank = 714, total = 514266
rank = 605, total = 519671
rank = 671, total = 519830
rank = 670, total = 511731
rank = 629, total = 520125
rank = 701, total = 518779
rank = 615, total = 515827
rank = 651, total = 520137
rank = 696, total = 510129
rank = 700, total = 519997
rank = 688, total = 511744
rank = 611, total = 521091
rank = 702, total = 512898
rank = 621, total = 511531
rank = 391, total = 520589
rank = 622, total = 508147
rank = 388, total = 507364
rank = 411, total = 514900
rank = 390, total = 515098
rank = 665, total = 520980
rank = 666, total = 517774
rank = 668, total = 513136
rank = 731, total = 515448
rank = 717, total = 521065
rank = 708, total = 512572
rank = 707, total = 519859
rank = 593, total = 520587
rank = 706, total = 521105
rank = 421, total = 522144
rank = 422, total = 515144
rank = 635, total = 522476
rank = 420, total = 515802
rank = 634, total = 512582
rank = 659, total = 522759
rank = 658, total = 516953
rank = 725, total = 518301
rank = 726, total = 515324
rank = 435, total = 514698
rank = 719, total = 518856
rank = 723, total = 523546
rank = 441, total = 518420
rank = 716, total = 517047
rank = 581, total = 517462
rank = 722, total = 518267
rank = 437, total = 523782
rank = 718, total = 523479
rank = 724, total = 523190
rank = 575, total = 517177
rank = 415, total = 524065
rank = 625, total = 524380
rank = 393, total = 518821
rank = 626, total = 518860
rank = 712, total = 519423
rank = 641, total = 524242
rank = 414, total = 517067
rank = 661, total = 515973
rank = 394, total = 510361
rank = 427, total = 523173
rank = 662, total = 512464
rank = 587, total = 521003
rank = 426, total = 524720
rank = 664, total = 512686
rank = 428, total = 516677
rank = 660, total = 524457
rank = 424, total = 507246
rank = 409, total = 525311
rank = 406, total = 511251
rank = 729, total = 525432
rank = 412, total = 506165
rank = 728, total = 521407
rank = 447, total = 525425
rank = 736, total = 514411
rank = 405, total = 523356
rank = 732, total = 514559
rank = 631, total = 523243
rank = 410, total = 520788
rank = 630, total = 526831
rank = 720, total = 518596
rank = 628, total = 510361
rank = 459, total = 523433
rank = 730, total = 521111
rank = 637, total = 524781
rank = 653, total = 526471
rank = 636, total = 527265
rank = 465, total = 523949
rank = 632, total = 514939
rank = 638, total = 517023
rank = 655, total = 524206
rank = 654, total = 527899
rank = 403, total = 528205
rank = 402, total = 525175
rank = 404, total = 525293
rank = 483, total = 528425
rank = 408, total = 516574
rank = 619, total = 528784
rank = 471, total = 526072
rank = 618, total = 523414
rank = 397, total = 528779
rank = 620, total = 520815
rank = 647, total = 529093
rank = 646, total = 517227
rank = 569, total = 519910
rank = 399, total = 522311
rank = 398, total = 529525
rank = 400, total = 515064
rank = 571, total = 529835
rank = 392, total = 524118
rank = 570, total = 523776
rank = 649, total = 524694
rank = 396, total = 520844
rank = 652, total = 518990
rank = 553, total = 530385
rank = 477, total = 530064
rank = 547, total = 530450
rank = 650, total = 517804
rank = 577, total = 530513
rank = 643, total = 529199
rank = 609, total = 526012
rank = 642, total = 530775
rank = 610, total = 513336
rank = 656, total = 514978
rank = 672, total = 514716
rank = 644, total = 516541
rank = 433, total = 524769
rank = 704, total = 515899
rank = 648, total = 529807
rank = 434, total = 523501
rank = 541, total = 531819
rank = 523, total = 528154
rank = 529, total = 530772
rank = 613, total = 532378
rank = 624, total = 522159
rank = 453, total = 532472
rank = 612, total = 525398
rank = 443, total = 532432
rank = 616, total = 509065
rank = 442, total = 524006
rank = 603, total = 525334
rank = 614, total = 520286
rank = 563, total = 528526
rank = 565, total = 534474
rank = 607, total = 534586
rank = 551, total = 526589
rank = 606, total = 524413
rank = 535, total = 534749
rank = 439, total = 527700
rank = 559, total = 534897
rank = 436, total = 517499
rank = 597, total = 524139
rank = 489, total = 535087
rank = 598, total = 519623
rank = 438, total = 534976
rank = 557, total = 529391
rank = 558, total = 527718
rank = 601, total = 535857
rank = 481, total = 525259
rank = 604, total = 514368
rank = 482, total = 525493
rank = 602, total = 532668
rank = 545, total = 529510
rank = 499, total = 529299
rank = 583, total = 536296
rank = 546, total = 520903
rank = 461, total = 536481
rank = 582, total = 525003
rank = 505, total = 536684
rank = 517, total = 536854
rank = 487, total = 530532
rank = 501, total = 536995
rank = 469, total = 527110
rank = 470, total = 528584
rank = 475, total = 526594
rank = 449, total = 538024
rank = 495, total = 538222
rank = 455, total = 538669
rank = 454, total = 528136
rank = 595, total = 538908
rank = 594, total = 526002
rank = 600, total = 527840
rank = 596, total = 535066
rank = 445, total = 530470
rank = 444, total = 539267
rank = 440, total = 523721
rank = 589, total = 539585
rank = 446, total = 525563
rank = 416, total = 516757
rank = 591, total = 527217
rank = 432, total = 530996
rank = 590, total = 540088
rank = 511, total = 539704
rank = 493, total = 534230
rank = 494, total = 531611
rank = 579, total = 532257
rank = 578, total = 540693
rank = 580, total = 523919
rank = 573, total = 533335
rank = 572, total = 540938
rank = 574, total = 524383
rank = 463, total = 530792
rank = 462, total = 541430
rank = 585, total = 533540
rank = 467, total = 541925
rank = 584, total = 541878
rank = 466, total = 530716
rank = 592, total = 522043
rank = 468, total = 537722
rank = 608, total = 530918
rank = 507, total = 542316
rank = 586, total = 525460
rank = 506, total = 533717
rank = 588, total = 529927
rank = 457, total = 529445
rank = 460, total = 525196
rank = 519, total = 544523
rank = 458, total = 526156
rank = 518, total = 537125
rank = 479, total = 544961
rank = 478, total = 533349
rank = 451, total = 534394
rank = 452, total = 531535
rank = 456, total = 544307
rank = 513, total = 545706
rank = 450, total = 545442
rank = 539, total = 534671
rank = 485, total = 547754
rank = 484, total = 536904
rank = 486, total = 536962
rank = 567, total = 540843
rank = 473, total = 548296
rank = 566, total = 548239
rank = 474, total = 537908
rank = 476, total = 526284
rank = 472, total = 536008
rank = 464, total = 527461
rank = 561, total = 545341
rank = 562, total = 533251
rank = 568, total = 529281
rank = 564, total = 527288
rank = 555, total = 549928
rank = 554, total = 538420
rank = 556, total = 535390
rank = 497, total = 545633
rank = 498, total = 536185
rank = 491, total = 551448
rank = 490, total = 547417
rank = 492, total = 540284
rank = 488, total = 532024
rank = 549, total = 552351
rank = 550, total = 534746
rank = 560, total = 549324
rank = 548, total = 538890
rank = 552, total = 524588
rank = 503, total = 543168
rank = 502, total = 553339
rank = 533, total = 541035
rank = 500, total = 528109
rank = 534, total = 533851
rank = 525, total = 553819
rank = 527, total = 540428
rank = 526, total = 555167
rank = 543, total = 556664
rank = 542, total = 540617
rank = 521, total = 539912
rank = 522, total = 531918
rank = 524, total = 536172
rank = 509, total = 544338
rank = 508, total = 558708
rank = 510, total = 536817
rank = 496, total = 550477
rank = 480, total = 535872
rank = 504, total = 536398
rank = 448, total = 527260
rank = 537, total = 559930
rank = 384, total = 508459
rank = 540, total = 525966
rank = 538, total = 546860
rank = 515, total = 545928
rank = 514, total = 560894
rank = 531, total = 561105
rank = 256, total = 480831
rank = 520, total = 557053
rank = 530, total = 541841
rank = 544, total = 536556
rank = 640, total = 514310
rank = 516, total = 536761
rank = 576, total = 522261
rank = 528, total = 532545
rank = 532, total = 553503
rank = 536, total = 542536
rank = 768, total = 482896
rank = 512, total = 537855
1024 2.040557 506650564
rank = 0, total = 454477
