Opening: params_512.dat
0
1
1
0.29449234078335689067
-0.016335565476402559131
6.6461593173361421805E-17
6.6383666142214026173E-17
1200
1200
70000
afile_512.bmp
rank = 5, total = 898871
rank = 440, total = 976675
rank = 177, total = 983199
rank = 431, total = 994104
rank = 135, total = 995468
rank = 132, total = 982480
rank = 134, total = 981930
rank = 175, total = 995820
rank = 174, total = 978953
rank = 172, total = 985839
rank = 429, total = 996536
rank = 424, total = 971778
rank = 432, total = 991749
rank = 430, total = 985792
rank = 377, total = 984736
rank = 416, total = 981139
rank = 378, total = 972771
rank = 428, total = 988113
rank = 380, total = 973800
rank = 448, total = 952894
rank = 375, total = 987180
rank = 139, total = 992938
rank = 183, total = 997017
rank = 138, total = 1000348
rank = 179, total = 991532
rank = 178, total = 1002342
rank = 157, total = 1002622
rank = 373, total = 1006603
rank = 374, total = 1000450
rank = 167, total = 1005380
rank = 141, total = 1007443
rank = 163, total = 1009646
rank = 151, total = 1005920
rank = 189, total = 1010892
rank = 181, total = 1013582
rank = 180, total = 986901
rank = 182, total = 1000526
rank = 153, total = 1005297
rank = 185, total = 995130
rank = 155, total = 1014031
rank = 154, total = 994948
rank = 143, total = 1014481
rank = 140, total = 1003441
rank = 142, total = 1004306
rank = 136, total = 990518
rank = 145, total = 1003537
rank = 343, total = 1015444
rank = 149, total = 1015596
rank = 150, total = 1010672
rank = 161, total = 1015556
rank = 162, total = 1001945
rank = 147, total = 1007962
rank = 148, total = 1003569
rank = 187, total = 1017785
rank = 146, total = 1017248
rank = 186, total = 998456
rank = 158, total = 1018115
rank = 165, total = 1003694
rank = 159, total = 1007991
rank = 166, total = 1006940
rank = 156, total = 1002058
rank = 164, total = 1018392
rank = 152, total = 1013694
rank = 168, total = 984379
rank = 144, total = 1015273
rank = 371, total = 1014083
rank = 339, total = 1013436
rank = 337, total = 1012160
rank = 338, total = 1023485
rank = 349, total = 1024092
rank = 369, total = 1015452
rank = 370, total = 1022731
rank = 372, total = 1002002
rank = 376, total = 997105
rank = 347, total = 1026331
rank = 345, total = 1010137
rank = 346, total = 1009990
rank = 191, total = 1011869
rank = 190, total = 1028303
rank = 188, total = 1004551
rank = 184, total = 1014011
rank = 176, total = 992952
rank = 160, total = 1009335
rank = 341, total = 1028920
rank = 342, total = 1012931
rank = 340, total = 1011378
rank = 355, total = 1030203
rank = 335, total = 1031561
rank = 215, total = 1026947
rank = 209, total = 1009685
rank = 367, total = 1031989
rank = 311, total = 1022324
rank = 195, total = 1033031
rank = 333, total = 1028589
rank = 334, total = 1021587
rank = 317, total = 1035058
rank = 211, total = 1028088
rank = 210, total = 1037029
rank = 193, total = 1037976
rank = 194, total = 1015441
rank = 357, total = 1025567
rank = 207, total = 1038306
rank = 351, total = 1026584
rank = 344, total = 1026143
rank = 350, total = 1038776
rank = 348, total = 1020363
rank = 329, total = 1039712
rank = 331, total = 1023989
rank = 205, total = 1040284
rank = 330, total = 1040430
rank = 206, total = 1018358
rank = 332, total = 1033666
rank = 363, total = 1027342
rank = 353, total = 1040964
rank = 354, total = 1025817
rank = 361, total = 1041813
rank = 362, total = 1041491
rank = 359, total = 1042335
rank = 358, total = 1038112
rank = 356, total = 1038155
rank = 323, total = 1046320
rank = 313, total = 1029140
rank = 197, total = 1021633
rank = 365, total = 1036559
rank = 368, total = 1024104
rank = 213, total = 1047286
rank = 364, total = 1046839
rank = 212, total = 1019556
rank = 366, total = 1024038
rank = 214, total = 1031843
rank = 360, total = 1029900
rank = 315, total = 1050074
rank = 314, total = 1030486
rank = 203, total = 1027688
rank = 327, total = 1052105
rank = 319, total = 1031620
rank = 309, total = 1052198
rank = 318, total = 1052046
rank = 316, total = 1024389
rank = 310, total = 1032346
rank = 201, total = 1052165
rank = 204, total = 1039405
rank = 202, total = 1051328
rank = 285, total = 1053611
rank = 199, total = 1054429
rank = 325, total = 1037941
rank = 198, total = 1049131
rank = 326, total = 1045461
rank = 200, total = 1033745
rank = 196, total = 1046258
rank = 221, total = 1054868
rank = 217, total = 1039160
rank = 305, total = 1034427
rank = 307, total = 1036113
rank = 312, total = 1046539
rank = 306, total = 1057776
rank = 308, total = 1023661
rank = 303, total = 1058999
rank = 299, total = 1037246
rank = 321, total = 1059974
rank = 336, total = 1023852
rank = 324, total = 1054501
rank = 352, total = 1034465
rank = 328, total = 1030422
rank = 322, total = 1032456
rank = 291, total = 1061299
rank = 241, total = 1053927
rank = 301, total = 1058002
rank = 302, total = 1034039
rank = 219, total = 1064027
rank = 218, total = 1039849
rank = 279, total = 1062615
rank = 297, total = 1064910
rank = 298, total = 1059205
rank = 300, total = 1063697
rank = 227, total = 1064149
rank = 273, total = 1051353
rank = 235, total = 1053513
rank = 295, total = 1067305
rank = 233, total = 1070672
rank = 234, total = 1067482
rank = 223, total = 1052292
rank = 220, total = 1043397
rank = 222, total = 1071840
rank = 216, total = 1056768
rank = 289, total = 1072950
rank = 208, total = 1031111
rank = 290, total = 1041381
rank = 287, total = 1041560
rank = 286, total = 1074273
rank = 231, total = 1074693
rank = 247, total = 1069374
rank = 293, total = 1046463
rank = 304, total = 1056930
rank = 292, total = 1075418
rank = 253, total = 1076100
rank = 296, total = 1042630
rank = 294, total = 1069512
rank = 229, total = 1050590
rank = 230, total = 1059541
rank = 239, total = 1078172
rank = 259, total = 1081648
rank = 225, total = 1082047
rank = 226, total = 1064996
rank = 228, total = 1076437
rank = 237, total = 1066475
rank = 236, total = 1084280
rank = 238, total = 1055750
rank = 243, total = 1067993
rank = 232, total = 1052046
rank = 242, total = 1084520
rank = 277, total = 1088348
rank = 278, total = 1064781
rank = 283, total = 1089082
rank = 275, total = 1061335
rank = 276, total = 1054973
rank = 274, total = 1091241
rank = 267, total = 1068600
rank = 281, total = 1061777
rank = 280, total = 1094665
rank = 282, total = 1061762
rank = 284, total = 1049191
rank = 263, total = 1095595
rank = 251, total = 1097005
rank = 271, total = 1097281
rank = 261, total = 1060072
rank = 249, total = 1066007
rank = 262, total = 1089991
rank = 250, total = 1065237
rank = 245, total = 1099044
rank = 246, total = 1075454
rank = 244, total = 1067831
rank = 269, total = 1081531
rank = 270, total = 1057785
rank = 265, total = 1102946
rank = 268, total = 1102466
rank = 266, total = 1094538
rank = 255, total = 1076889
rank = 252, total = 1073490
rank = 254, total = 1103650
rank = 248, total = 1096826
rank = 240, total = 1062984
rank = 224, total = 1062684
rank = 192, total = 1020557
rank = 128, total = 960438
rank = 257, total = 1106822
rank = 260, total = 1096965
rank = 272, total = 1066066
rank = 258, total = 1073615
rank = 288, total = 1052774
rank = 264, total = 1063317
rank = 320, total = 1038552
rank = 384, total = 969593
rank = 256, total = 1083981
512 4.024773 506650724
rank = 0, total = 910413
